Series Name,Character Name,Dialogue,Context
Doraemon,Nobita Nobi,I always get zero marks in my exams. My mom is going to scold me again!,Nobita is complaining about his bad grades.
Doraemon,Doraemon,"Nobita, you need to study harder. I can help you, but you have to put in the effort too.",Doraemon tries to comfort Nobita.
Doraemon,Nobita Nobi,Don’t you have a gadget that can make me smarter?,Nobita asks Doraemon for a gadget to help him study.
Doraemon,Doraemon,"There’s no gadget that can replace hard work, Nobita. You have to learn on your own.",Doraemon explains the limitations of his gadgets.
Doraemon,Shizuka Minamoto,"Nobita, why don't you come over to my house? We can study together.",Shizuka encourages Nobita to study with her.
Doraemon,Nobita Nobi,"Really, Shizuka? That would be great!",Nobita gets excited about studying with Shizuka.
Doraemon,Takeshi Gouda (Gian),"Hey, Nobita! Where do you think you're going? Give me your lunch money!",Gian bullies Nobita on his way to Shizuka's house.
Doraemon,Nobita Nobi,"Leave me alone, Gian! I'm going to Shizuka's house to study.",Nobita tries to stand up to Gian.
Doraemon,Suneo Honekawa,"Studying? You? Don't make me laugh, Nobita!",Suneo mocks Nobita for studying.
Doraemon,Doraemon,"Leave him alone, Gian and Suneo. Nobita is trying to improve himself.",Doraemon intervenes to help Nobita.
Doraemon,Takeshi Gouda (Gian),"Fine, but next time, Nobita, you better have something for me!",Gian backs off after Doraemon's warning.
Doraemon,Nobita Nobi,"Thanks, Doraemon. I don't know what I'd do without you.",Nobita thanks Doraemon for helping him.
Doraemon,Doraemon,"Here, take this 'Focus Helmet.' It will help you concentrate while studying.",Doraemon gives Nobita a gadget to help him focus.
Doraemon,Nobita Nobi,"Wow, this is amazing! I feel so focused now!",Nobita tries on the Focus Helmet.
Doraemon,Shizuka Minamoto,"See, Nobita? You can do it if you try!",Shizuka praises Nobita for his efforts.
Doraemon,Nobita Nobi,"Thanks, Shizuka. I'll do my best!",Nobita feels motivated after Shizuka's praise.
Doraemon,Tamako Nobi (Nobita's Mom),"Nobita, why do you always wait until the last minute to study?",Nobita's mom scolds him for not studying earlier.
Doraemon,Nobita Nobi,"I'm sorry, Mom. I'll do better next time.",Nobita tries to explain himself.
Doraemon,Doraemon,"Don't worry, Nobita. Just keep trying your best.",Doraemon comforts Nobita after his mom scolds him.
Doraemon,Nobita Nobi,Do you have a gadget that can make time go slower? I need more time to study!,Nobita asks Doraemon for another gadget.
Doraemon,Doraemon,"Time is precious, Nobita. You can't just slow it down whenever you want.",Doraemon explains the dangers of messing with time.
Doraemon,Nobita Nobi,Studying is so boring. I wish I could just know everything without trying.,Nobita complains about how hard studying is.
Doraemon,Doraemon,"Nothing worth having comes easy, Nobita. You have to work for it.",Doraemon reminds Nobita of the importance of effort.
Doraemon,Shizuka Minamoto,"Nobita, we're having a study group tomorrow. Do you want to join?",Shizuka invites Nobita to join her for a study group.
Doraemon,Nobita Nobi,"Okay, I'll come. But I hope Gian and Suneo won't be there.",Nobita hesitates but agrees to join.
Doraemon,Shizuka Minamoto,"Don't worry, it' just me and a few friends. No Gian or Suneo.",Shizuka reassures Nobita.
Doraemon,Nobita Nobi,That's good. I'll be there!,Nobita feels relieved.
Doraemon,Doraemon,"Remember, Nobita, confidence is key. You can do this!",Doraemon gives Nobita a pep talk before the study group.
Doraemon,Nobita Nobi,"Thanks, Doraemon. I'll do my best!",Nobita thanks Doraemon for his support.
Doraemon,Nobita Nobi,I don't understand this problem at all. It's too hard!,"At the study group, Nobita struggles with a math problem."
Doraemon,Shizuka Minamoto,"Here, let me show you how to solve it. It's not as hard as it looks.",Shizuka helps Nobita with the problem.
Doraemon,Nobita Nobi,"Thanks, Shizuka. You're the best!",Nobita feels grateful for Shizuka's help.
Doraemon,Nobita Nobi,I think I'm starting to understand this stuff. Maybe I'm not so bad after all!,"After the study group, Nobita feels more confident."
Doraemon,Doraemon,"See, Nobita? Hard work pays off. You're doing great!",Doraemon praises Nobita for his progress.
Doraemon,Tamako Nobi (Nobita's Mom),"Nobita, your grades are getting better. Keep it up!",Nobita's mom notices his improvement.
Doraemon,Nobita Nobi,"Thanks, Mom. I'll keep working hard!",Nobita feels proud of himself.
Doraemon,Takeshi Gouda (Gian),"Hey, Nobita! Are you still studying? What a nerd!",Gian and Suneo tease Nobita about his studying.
Doraemon,Nobita Nobi,"Studying is important, Gian. Maybe you should try it sometime!",Nobita stands up to Gian and Suneo.
Doraemon,Doraemon,"Looks like someone's growing up, Nobita. I'm proud of you!",Doraemon laughs at Nobita's newfound confidence.
Doraemon,Nobita Nobi,"Thanks, Doraemon. I couldn't have done it without you.",Nobita smiles and thanks Doraemon.
Dragon Ball Z,Goku,Frieza! Your reign of terror ends here!,Goku arrives to fight Frieza on Namek.
Dragon Ball Z,Frieza,You think you can defeat me? How amusing.,Frieza mocks Goku's confidence.
Dragon Ball Z,Vegeta,"Kakarot, don't you dare lose to him. I won't allow it!",Vegeta watches the battle between Goku and Frieza.
Dragon Ball Z,Piccolo,"Gohan, stay back. This fight is beyond your level.",Piccolo warns Gohan about the danger of Frieza.
Dragon Ball Z,Gohan,But I can't just stand by and do nothing!,Gohan insists on helping.
Dragon Ball Z,Krillin,"Gohan, we need to trust Goku. He's our only hope.",Krillin tries to reassure Gohan.
Dragon Ball Z,Goku,"Frieza, you've pushed me too far. Now, you'll see my true power!",Goku powers up to Super Saiyan for the first time.
Dragon Ball Z,Frieza,What... what is this power? It's impossible!,Frieza is shocked by Goku's transformation.
Dragon Ball Z,Vegeta,"So, the legend is true. Kakarot has surpassed me again!",Vegeta realizes Goku has become a Super Saiyan.
Dragon Ball Z,Piccolo,Goku…. you've done it. You've become a Super Saiyan.,Piccolo senses Goku's new power.
Dragon Ball Z,Gohan,Dad... you're amazing! I'll get stronger too!,Gohan feels inspired by his father's power.
Dragon Ball Z,Krillin,"Goku, you've really outdone yourself this time!",Krillin is in awe of Goku's transformation.
Dragon Ball Z,Goku,"Frieza, this is it. Let's end this once and for all!",Goku challenges Frieza to a final showdown.
Dragon Ball Z,Frieza,"You may have transformed, but I am still the strongest in the universe!",Frieza refuses to back down.
Dragon Ball Z,Vegeta,Kakarot... You've achieved what I could not. But I will surpass you one day!,Vegeta grudgingly acknowledges Goku's strength.
Dragon Ball Z,Piccolo,"Gohan, stay close to me. This battle is far from over.",Piccolo prepares to protect Gohan.
Dragon Ball Z,Gohan,I won't let anyone hurt my friends. I'll fight too!,Gohan vows to protect his friends.
Dragon Ball Z,Krillin,"Gohan, you're brave, but we need to stay out of this. Let Goku handle it.",Krillin tries to keep Gohan safe.
Dragon Ball Z,Goku,"Frieza, you've caused too much pain. It's time to pay for your crimes!",Goku and Frieza clash in a massive explosion.
Dragon Ball Z,Frieza,You fool! Do you really think you can defeat me?,Frieza laughs maniacally during the battle.
Dragon Ball Z,Vegeta,Why is it always Kakarot who gets to fight the strongest enemies?,Vegeta watches the battle with frustration.
Dragon Ball Z,Piccolo,This planet won't last much longer. We need to find a way to escape.,Piccolo senses the destruction of Namek.
Dragon Ball Z,Gohan,"Dad, please be careful! We need you!",Gohan worries about his father.
Dragon Ball Z,Krillin,Goku's never let us down before. He'll find a way to win.,Krillin tries to stay optimistic.
Dragon Ball Z,Goku,"This is for everyone you've hurt, Frieza. Goodbye!",Goku delivers a final blow to Frieza.
Dragon Ball Z,Frieza,No! This can't be happening! I am Frieza! I cannot be defeated!,Frieza screams in defeat.
Dragon Ball Z,Vegeta,Kakarot... You've done it. You've defeated Frieza.,Vegeta reluctantly admits Goku's victory.
Dragon Ball Z,Piccolo,"Goku, you've saved us all. Thank you.",Piccolo acknowledges Goku's strength.
Dragon Ball Z,Gohan,"Dad, you're amazing! I knew you could do it!",Gohan runs to his father.
Dragon Ball Z,Krillin,"Goku, you're the best! We owe you our lives!",Krillin celebrates Goku's victory.
Dragon Ball Z,Goku,"It's over, but we can't let our guard down. There are always stronger enemies out there.",Goku reflects on the battle.
Dragon Ball Z,Vegeta,"Kakarot, this isn't over. I will become stronger than you. I swear it!",Vegeta vows to surpass Goku.
Dragon Ball Z,Piccolo,"Goku, you've won this battle, but we must prepare for what's to come.",Piccolo warns Goku about future threats.
Dragon Ball Z,Gohan,"Dad, I'll train with you. I want to be strong enough to protect everyone!",Gohan promises to train harder.
Dragon Ball Z,Krillin,"Goku, you really know how to make things exciting, don't you?",Krillin jokes about the intensity of the battle.
Dragon Ball Z,Goku,"Thanks, everyone. We couldn't have done it without teamwork.",Goku laughs and thanks his friends.
Dragon Ball Z,Vegeta,"Hmph. This isn't the end. I will surpass you, Kakarot. Just wait and see.","Vegeta walks away, deep in thought."
Dragon Ball Z,Piccolo,"Gohan, you have great potential. Don't waste it.",Piccolo places a hand on Gohan's shoulder.
Dragon Ball Z,Gohan,"I won't, Piccolo. I'll make everyone proud!",Gohan nods determinedly.
Dragon Ball Z,Krillin,"Well, that was intense. Let's hope we never have to go through something like that again.",Krillin looks at the destroyed landscape.
Dragon Ball Z,Goku,"No matter what happens, we'll face it together. That's what friends are for.",Goku smiles and looks to the future.
